Country,Year,Environment_Expenditure,CO2 emissions_Foreign_control,CO2_emissions_Domestic_control,Taxes_Environment,Fossil_Fuel_Subsidies,G7_dummy,Temperature_Change
AFG,2006,0.537075928540901,,,,,0.0,1.72
AFG,2007,0.142215102166941,,,,,0.0,0.675
AFG,2008,0.140065490253051,,,,,0.0,0.704
AFG,2009,0.223920222361293,,,,,1.0,0.895
AFG,2010,0.113936737799151,,,,,1.0,1.613
AFG,2011,0.365817096191878,,,,,1.0,1.397
AFG,2012,0.275446885255142,,,,,0.0,0.223
AFG,2013,0.29947925997365,,,,,0.0,1.281
AFG,2014,0.186381298755426,,,,,0.0,0.456
AFG,2015,0.0915235918662746,,,,5.72983442734124,1.0,1.093
AFG,2016,0.129158975528447,,,,6.64619176637506,1.0,1.555
AFG,2017,0.17262259574404,,,,3.83964976393291,1.0,1.54
AGO,1999,0.0019072052170048,,,,,0.0,0.417
AGO,2000,0.0036172561815609,,,,,0.0,0.169
AGO,2001,0.186327295654128,,,,,0.0,0.295
AGO,2002,0.0952398730558978,,,,,0.0,0.735
AGO,2003,0.0947666723723542,,,,,0.0,0.889
AGO,2004,0.192555398767629,,,,,0.0,0.414
AGO,2005,0.306876274814173,,,,,0.0,1.021
AGO,2006,0.237338517664419,,,,,0.0,0.561
AGO,2007,0.256973652382431,,,,,1.0,0.885
AGO,2008,0.290185876679205,,,,,0.0,0.501
AGO,2009,0.385047043413536,,,,,1.0,0.708
AGO,2010,0.357306129711757,,,,,1.0,1.194
AGO,2011,0.310022402007158,,,,,1.0,0.88
AGO,2012,0.450566985325976,,,,,1.0,0.552
AGO,2013,0.372128208780894,,,,,1.0,1.044
AGO,2014,0.258804258431544,,,,,1.0,0.828
AGO,2015,0.152983958325488,,,,4.52401366865681,1.0,1.331
AGO,2016,0.0115197616472817,,,,2.99877860829771,1.0,1.609
AGO,2017,0.130384542192238,,,,2.14905892718785,1.0,0.87
AGO,2018,0.0170643345276404,,,,6.98092708956527,1.0,1.395
AGO,2019,0.0089860946136019,,,,9.95846391934598,1.0,1.752
ALB,2005,0.0,,,,,1.0,0.189
ALB,2006,0.0,,,,,1.0,0.345
ALB,2007,0.0090916205234332,,,,,1.0,1.316
ALB,2008,0.0187817637221378,,,,,1.0,0.978
ALB,2010,0.0111322230338612,,,,,1.0,1.191
ALB,2011,0.0542524170274462,,,,,1.0,1.055
ALB,2012,0.0353891139698449,,,,,1.0,1.487
ALB,2013,0.0462552335647304,,,,,1.0,1.333
ALB,2014,0.0656981980016542,,,,,1.0,1.198
ALB,2015,0.0964424263355537,,,3.06720620873782,1.0548400408534,1.0,1.569
ALB,2016,0.185321472519724,,,3.24716268492612,0.848935665150179,1.0,1.464
ALB,2017,0.184236179447425,,,3.06637313604198,1.23784431135078,1.0,1.121
ALB,2018,0.0864877128446661,,,3.12486507834958,1.69314064476585,1.0,2.028
ALB,2019,0.184700258006413,,,3.15713338662001,1.94548667787155,1.0,1.675
ALB,2020,0.32222268962854,,,,1.78313052917111,1.0,1.498
ALB,2021,0.290041367860404,,,,1.70258709197132,0.0,1.536
ARE,2015,0.594562660892445,,,,7.88688440812014,1.0,1.556
ARE,2016,0.792989259783643,,,,6.80003763831632,1.0,1.059
ARE,2017,0.51673327387979,,,,6.93787583068182,1.0,1.632
ARE,2018,0.512038829168949,,,,6.44794090571139,1.0,1.498
ARE,2019,0.556790958570538,,,,7.48721522861764,1.0,1.204
ARE,2020,0.53479449440566,,,,7.4562199771348,1.0,1.21
ARE,2021,0.48112243710827,,,,6.91703147826852,1.0,1.699
ARG,2002,0.0180837259342662,,,1.51,,1.0,0.278
ARG,2003,0.0146106878179857,,,1.48,,1.0,0.635
ARG,2004,0.0499871336856105,,,1.38,,1.0,0.47
ARG,2014,0.0567645979732737,0.32576326839771697,0.3145948225634824,1.25,,1.0,0.951
ARG,2015,0.0357458773818014,0.33703953480179666,0.2954962204009281,1.25,5.1380426271911,1.0,0.957
ARG,2016,0.0668229628580792,0.34741115085868407,0.3243259649689221,1.22,6.21318420259952,1.0,0.488
ARG,2017,0.106584019532471,,,1.32,4.74999060119604,1.0,1.095
ARG,2018,0.124122990816225,,,1.09,7.96625709210044,1.0,0.878
ARG,2019,0.13716262334275,,,1.08,8.74790228156611,1.0,0.76
ARG,2020,0.11630787528822,,,1.06,7.39250163933289,1.0,1.123
ARG,2021,0.0553784493766956,,,1.1,6.31861616590811,1.0,1.031
ARM,2013,0.349478077407464,,,,,1.0,1.407
ARM,2017,0.326696455522734,,,1.04962659852605,11.0891753084701,1.0,0.889
ARM,2018,0.380610211999425,,,1.17151874697359,10.472008477149,1.0,2.772
ARM,2019,0.33899566387519,,,1.24656025491517,10.3959764462024,1.0,1.859
ARM,2020,0.342758348886993,,,1.00418761046154,8.73213268172955,1.0,1.954
ARM,2021,0.357346852424025,,,,8.68125163325407,1.0,2.087
AUS,1999,0.449349032056701,,,2.9,,1.0,0.58
AUS,2000,0.421359978669744,,,2.58,,1.0,0.148
AUS,2001,0.427639291262256,,,2.55,,1.0,0.336
AUS,2002,0.453153266106643,,,2.46,,1.0,0.736
AUS,2003,0.473085575950961,,,2.42,,1.0,0.835
AUS,2004,0.455901717658668,,,2.36,,1.0,0.723
AUS,2005,0.498614325660986,0.3579110520915154,0.3295173412040077,2.16,,1.0,1.211
AUS,2006,0.515522484059629,0.33010079054800723,0.29356489216823195,2.08,,1.0,0.721
AUS,2007,0.5773385347406,0.2737695880886285,0.23887259216580148,2.01,,1.0,0.929
AUS,2008,0.570939819265837,0.2308740862554388,0.20164637481371672,1.83,,1.0,0.625
AUS,2009,0.653699761816211,0.23323853546108778,0.20567217278768682,1.92,,1.0,1.03
AUS,2010,0.728129169395837,0.26197024602259894,0.23529466058686618,1.87,,1.0,0.673
AUS,2011,0.80387627011224,0.22348990924602732,0.20039949874128088,1.82,,1.0,0.208
AUS,2012,0.933672610619907,0.25663106363526167,0.20837028433706709,2.33,,1.0,0.308
AUS,2013,0.95346540524033,0.24783172772588818,0.20886692076201874,2.3,,1.0,1.499
AUS,2014,0.948540559034006,0.19419990030404066,0.17480106070159995,1.85,,1.0,1.198
AUS,2015,0.747539430751897,0.2671490036074292,0.2283194625292039,1.88,2.92487560323304,1.0,1.087
AUS,2016,0.770238629180072,0.2564638252284412,0.230351553258058,1.76,2.65628267619622,1.0,1.172
AUS,2017,0.782649222677186,,,1.77,2.60011914713369,1.0,1.141
AUS,2018,0.82036724318376,,,1.69,2.97404793850502,1.0,1.129
AUS,2019,0.813327783433549,,,1.67,3.31666402576937,1.0,1.422
