Country,Year,exp_on_biodiversity_&_landscape_protection_,exp_on_environment_protection_,exp_on_environmental_protection_r&d_,exp_on_environmental_protection_n.e.c._,exp_on_pollution_abatement_,exp_on_waste_management_,exp_on_waste_water_management_,g7_trade,co2_emissions_in_exports_of_domestic_controlled_enterprises_,co2_emissions_in_output_of_foreign_controlled_multinational_enterprises_,env_taxes_,taxes_on_energy_,taxes_on_pollution_,taxes_on_resources_,taxes_on_transport_,explicit_fossil_fuel_subsidies_-_coal_,explicit_fossil_fuel_subsidies_-_total_,fossil_fuel_subsidies_-_total_implicit_and_explicit_,fossil_fuel_subsidies_-_total_implicit_and_explicit_-__natural_gas_,fossil_fuel_subsidies_-_total_implicit_and_explicit_-_coal_,fossil_fuel_subsidies_-_total_implicit_and_explicit_-_coal_,fossil_fuel_subsidies_-_total_implicit_and_explicit_-_electricity_,fossil_fuel_subsidies_-_total_implicit_and_explicit_-_petroleum_,implicit_fossil_fuel_subsidies_-_coal_,implicit_fossil_fuel_subsidies_-_congestion_,implicit_fossil_fuel_subsidies_-_electricity_,implicit_fossil_fuel_subsidies_-_global_warming_,implicit_fossil_fuel_subsidies_-_local_air_pollution_,implicit_fossil_fuel_subsidies_-_natural_gas_,implicit_fossil_fuel_subsidies_-_petroleum_,implicit_fossil_fuel_subsidies_-_total_,"temperature_change_with_respect_to_a_baseline_climatology,_corresponding_to_the_period_1951-1980_",share_of_forest_area_
AFG,2006,,0.537075928540901,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2007,,0.142215102166941,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2008,,0.140065490253051,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2009,,0.223920222361293,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2010,,0.113936737799151,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2011,,0.365817096191878,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2012,,0.275446885255142,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2013,,0.29947925997365,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2014,,0.186381298755426,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2015,,0.0915235918662746,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2016,0.0094334910400144,0.129158975528447,0.0,0.007333513375016,0.000436931868709,0.110162296103925,0.0017927431407819,1,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,2017,0.0913420202639355,0.17262259574404,0.0030884434227722,0.0064222795313381,0.0183198794489399,0.0534499730770546,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1999,,0.0019072052170048,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2000,,0.0036172561815609,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2001,,0.186327295654128,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2002,,0.0952398730558978,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2003,,0.0947666723723542,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2004,,0.192555398767629,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2005,,0.306876274814173,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2006,,0.237338517664419,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2007,,0.256973652382431,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2008,,0.290185876679205,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2009,,0.385047043413536,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2010,,0.357306129711757,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2011,,0.310022402007158,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2012,,0.450566985325976,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2013,,0.372128208780894,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2014,0.0281964634309092,0.258804258431544,0.0077973503971939,0.0179853741045622,0.0007298912003392,0.204002671057569,9.25082409705374e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2015,0.0104290128026149,0.152983958325488,0.0046981970736213,0.0499710097686629,0.0005686867095189,0.0872899256692543,2.71263018157948e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2016,0.0062385165160743,0.0115197616472817,0.0004955941463757,0.0006315221537536,0.0,0.0041541288310779,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2017,0.115074768282681,0.130384542192238,0.004323032686789,0.0034808180484688,0.0,0.0072147224627129,0.0002912007115862,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2018,0.0040998150125213,0.0170643345276404,0.001916637037569,0.0037338864724391,0.0,0.0066119738960593,0.0007020221090514,1,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2019,0.0042985498884901,0.0089860946136019,0.0014479728635627,0.0006003192494373,0.0,0.0019543359438146,0.0006849166682971,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2007,,0.0090916205234332,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2008,,0.0187817637221378,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2010,,0.0111322230338612,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2011,0.0006642964812748,0.0542524170274462,0.0,0.0022081707109042,0.0513799498352672,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2012,0.0005327086929122,0.0353891139698449,0.0,0.0034160882800412,0.0314403169968915,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2013,0.0012466180615472,0.0462552335647304,0.0,0.0031146933742164,0.0418939221289668,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2014,0.0014340954324941,0.0656981980016542,0.0,0.0117551390723487,0.0525089634968113,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2015,0.0017339390022014,0.0964424263355537,0.0,0.0119569979444129,0.0827514893889394,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2016,0.0016625023443403,0.185321472519724,0.0,0.0065257291776006,0.177133240997783,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2017,0.0016070726820903,0.184236179447425,0.0,0.0158353409746102,0.166793765790724,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2018,0.0009091300092038,0.0864877128446661,0.0,0.0102857551780552,0.0510463058729629,0.0239728052225334,0.0002737165619108,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2019,0.0007920073784495,0.184700258006413,0.0,0.0080832036624448,0.066698842271101,0.100757523745562,0.0083686809488561,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2020,0.0007359751404894,0.32222268962854,0.0,0.00908229817999,0.0740950575736693,0.230553032295118,0.0077563264392735,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,2021,0.0004772893049615,0.290041367860404,0.0006254500648165,0.005855801819208,0.0562497616245281,0.216964500149403,0.0098685648974859,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2015,0.0134343327913566,0.594562660892445,0.0113183213135104,0.0530990356932485,0.0207063182572617,0.379727386958878,0.11627726587819,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2016,0.239404371243797,0.792989259783643,0.0063276025927482,0.0907977127624273,0.0221516391979883,0.256947036332397,0.177360897654286,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2017,0.122596882733115,0.51673327387979,0.0065364883455482,0.0317577930974855,0.0221492733442897,0.207067218250518,0.126625618108833,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2018,0.0740297130913661,0.512038829168949,0.0072659951069252,0.093857924785394,0.0205976334835772,0.228181442468752,0.0881061202329343,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2019,0.0805814894724465,0.556790958570538,0.0033779962698696,0.0963565439163242,0.0219397216538431,0.264899323026291,0.0896358842317632,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2020,0.0847291538365642,0.53479449440566,0.0086228383095431,0.11614633804463,0.02441400634233,0.195081967524777,0.105800190347815,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2021,0.0761536558657942,0.48112243710827,0.0069676673881536,0.0891573227211979,0.024787450194106,0.194150180918495,0.0899061600205227,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2002,,0.0180837259342662,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2003,,0.0146106878179857,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2004,,0.0499871336856105,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2014,,0.0567645979732737,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2015,,0.0357458773818014,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2016,,0.0668229628580792,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2017,,0.106584019532471,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2018,,0.124122990816225,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2019,,0.13716262334275,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2020,,0.11630787528822,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,2021,,0.0553784493766956,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,2013,0.0797634375793934,0.349478077407464,0.0001639914469063,0.0859037039201225,0.0012925990479226,0.178916062627625,0.0034382827854942,1,,,,,,,,,,,,,,,,,,,,,,,,,
